type,text,label,is_label_correct,is_grammatically,is_makes_sense,ptype->htype,from->to,section,worker,is_completed,row_id,hit_id
P,"The Pacific War actually began 70 minutes before the **attack** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",entailment,,,,hypo->hyper,attack->operation,1,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,"The Pacific War actually began 70 minutes before the **operation** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",entailment,,,,hypo->hyper,attack->operation,1,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **operation** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",neutral,,,,hyper->hypo,operation->mission,2 hyper->hypo,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,"The Pacific War actually began 70 minutes before the **mission** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",neutral,,,,hyper->hypo,operation->mission,2 hyper->hypo,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **operation** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",neutral,,,,hyper->hypo,operation->maneuver,2 hyper->hypo,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,"The Pacific War actually began 70 minutes before the **maneuver** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",neutral,,,,hyper->hypo,operation->maneuver,2 hyper->hypo,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **operation** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",neutral,,,,hyper->hypo,operation->expedition,2 hyper->hypo,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,"The Pacific War actually began 70 minutes before the **expedition** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",neutral,,,,hyper->hypo,operation->expedition,2 hyper->hypo,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **operation** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",neutral,,,,hyper->hypo,operation->offensive,2 hyper->hypo,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,"The Pacific War actually began 70 minutes before the **offensive** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",neutral,,,,hyper->hypo,operation->offensive,2 hyper->hypo,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **operation** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",neutral,,,,hyper->hypo,operation->offense,2 hyper->hypo,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,"The Pacific War actually began 70 minutes before the **offense** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",neutral,,,,hyper->hypo,operation->offense,2 hyper->hypo,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **mission** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",entailment,,,,hypo->hyper,mission->operation,2 hypo->hyper,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,"The Pacific War actually began 70 minutes before the **operation** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",entailment,,,,hypo->hyper,mission->operation,2 hypo->hyper,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **maneuver** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",entailment,,,,hypo->hyper,maneuver->operation,2 hypo->hyper,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,"The Pacific War actually began 70 minutes before the **operation** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",entailment,,,,hypo->hyper,maneuver->operation,2 hypo->hyper,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **expedition** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",entailment,,,,hypo->hyper,expedition->operation,2 hypo->hyper,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,"The Pacific War actually began 70 minutes before the **operation** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",entailment,,,,hypo->hyper,expedition->operation,2 hypo->hyper,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **offensive** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",entailment,,,,hypo->hyper,offensive->operation,2 hypo->hyper,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,"The Pacific War actually began 70 minutes before the **operation** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",entailment,,,,hypo->hyper,offensive->operation,2 hypo->hyper,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **offense** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",entailment,,,,hypo->hyper,offense->operation,2 hypo->hyper,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,"The Pacific War actually began 70 minutes before the **operation** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",entailment,,,,hypo->hyper,offense->operation,2 hypo->hyper,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **quest** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",contradiction,,,,nonhypo->hyper,quest->operation,3 Nonhypo->hyper,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,"The Pacific War actually began 70 minutes before the **operation** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",contradiction,,,,nonhypo->hyper,quest->operation,3 Nonhypo->hyper,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **obstacle** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",contradiction,,,,nonhypo->hyper,obstacle->operation,3 Nonhypo->hyper,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,"The Pacific War actually began 70 minutes before the **operation** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",contradiction,,,,nonhypo->hyper,obstacle->operation,3 Nonhypo->hyper,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **voyage** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",contradiction,,,,nonhypo->hyper,voyage->operation,3 Nonhypo->hyper,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,"The Pacific War actually began 70 minutes before the **operation** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",contradiction,,,,nonhypo->hyper,voyage->operation,3 Nonhypo->hyper,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **operation** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",contradiction,,,,hyper->nonhypo,operation->quest,3 Hyper->Nonhypo,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,"The Pacific War actually began 70 minutes before the **quest** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",contradiction,,,,hyper->nonhypo,operation->quest,3 Hyper->Nonhypo,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **operation** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",contradiction,,,,hyper->nonhypo,operation->obstacle,3 Hyper->Nonhypo,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
